id,title,tag
19995,Avatar,"Action Adventure Fantasy Science Fiction culture clash future space war space colony society space travel futuristic romance space alien tribe alien planet cgi marine soldier battle love affair anti war power relations mind and soul 3d In the 22nd century, a paraplegic Marine is dispatched to the moon Pandora on a unique mission, but becomes torn between following orders and protecting an alien civilization. Ingenious Film Partners Twentieth Century Fox Film Corporation Dune Entertainment Lightstorm Entertainment United States of America United Kingdom English 2009.0 12.0 10.0 Jake Sully Sam Worthington Neytiri Zoe Saldana Dr. Grace Augustine Sigourney Weaver Col. Quaritch Stephen Lang Trudy Chacon Michelle Rodriguez James Cameron"
285,Pirates of the Caribbean: At World's End,"Adventure Fantasy Action ocean drug abuse exotic island east india trading company love of one's life traitor shipwreck strong woman ship alliance calypso afterlife fighter pirate swashbuckler aftercreditsstinger Captain Barbossa, long believed to be dead, has come back to life and is headed to the edge of the Earth with Will Turner and Elizabeth Swann. But nothing is quite as it seems. Walt Disney Pictures Jerry Bruckheimer Films Second Mate Productions United States of America English 2007.0 5.0 19.0 Captain Jack Sparrow Johnny Depp Will Turner Orlando Bloom Elizabeth Swann Keira Knightley William ""Bootstrap Bill"" Turner Stellan Skarsgård Captain Sao Feng Chow Yun-fat Gore Verbinski"
206647,Spectre,"Action Adventure Crime spy based on novel secret agent sequel mi6 british secret service united kingdom A cryptic message from Bond’s past sends him on a trail to uncover a sinister organization. While M battles political forces to keep the secret service alive, Bond peels back the layers of deceit to reveal the terrible truth behind SPECTRE. Columbia Pictures Danjaq B24 United Kingdom United States of America Français 2015.0 10.0 26.0 James Bond Daniel Craig Blofeld Christoph Waltz Madeleine Léa Seydoux M Ralph Fiennes Lucia Monica Bellucci Sam Mendes"
49026,The Dark Knight Rises,"Action Crime Drama Thriller dc comics crime fighter terrorist secret identity burglar hostage drama time bomb gotham city vigilante cover-up superhero villainess tragic hero terrorism destruction catwoman cat burglar imax flood criminal underworld batman Following the death of District Attorney Harvey Dent, Batman assumes responsibility for Dent's crimes to protect the late attorney's reputation and is subsequently hunted by the Gotham City Police Department. Eight years later, Batman encounters the mysterious Selina Kyle and the villainous Bane, a new terrorist leader who overwhelms Gotham's finest. The Dark Knight resurfaces to protect a city that has branded him an enemy. Legendary Pictures Warner Bros. DC Entertainment Syncopy United States of America English 2012.0 7.0 16.0 Bruce Wayne / Batman Christian Bale Alfred Pennyworth Michael Caine James Gordon Gary Oldman Selina Kyle / Catwoman Anne Hathaway Bane Tom Hardy Christopher Nolan"
49529,John Carter,"Action Adventure Science Fiction based on novel mars medallion space travel princess alien steampunk martian escape edgar rice burroughs alien race superhuman strength mars civilization sword and planet 19th century 3d John Carter is a war-weary, former military captain who's inexplicably transported to the mysterious and exotic planet of Barsoom (Mars) and reluctantly becomes embroiled in an epic conflict. It's a world on the brink of collapse, and Carter rediscovers his humanity when he realizes the survival of Barsoom and its people rests in his hands. Walt Disney Pictures United States of America English 2012.0 3.0 7.0 John Carter Taylor Kitsch Dejah Thoris Lynn Collins Sola Samantha Morton Tars Tarkas Willem Dafoe Tal Hajus Thomas Haden Church Andrew Stanton"
559,Spider-Man 3,"Fantasy Action Adventure dual identity amnesia sandstorm love of one's life forgiveness spider wretch death of a friend egomania sand narcism hostility marvel comic sequel superhero revenge The seemingly invincible Spider-Man goes up against an all-new crop of villain – including the shape-shifting Sandman. While Spider-Man’s superpowers are altered by an alien organism, his alter ego, Peter Parker, deals with nemesis Eddie Brock and also gets caught up in a love triangle. Columbia Pictures Laura Ziskin Productions Marvel Enterprises United States of America English 2007.0 5.0 1.0 Peter Parker / Spider-Man Tobey Maguire Mary Jane Watson Kirsten Dunst Harry Osborn / New Goblin James Franco Flint Marko / Sandman Thomas Haden Church Eddie Brock / Venom Topher Grace Sam Raimi"
38757,Tangled,"Animation Family hostage magic horse fairy tale musical princess animation tower blonde woman selfishness healing power based on fairy tale duringcreditsstinger healing gift animal sidekick When the kingdom's most wanted-and most charming-bandit Flynn Rider hides out in a mysterious tower, he's taken hostage by Rapunzel, a beautiful and feisty tower-bound teen with 70 feet of magical, golden hair. Flynn's curious captor, who's looking for her ticket out of the tower where she's been locked away for years, strikes a deal with the handsome thief and the unlikely duo sets off on an action-packed escapade, complete with a super-cop horse, an over-protective chameleon and a gruff gang of pub thugs. Walt Disney Pictures Walt Disney Animation Studios United States of America English 2010.0 11.0 24.0 Flynn Rider (voice) Zachary Levi Rapunzel (voice) Mandy Moore Mother Gothel (voice) Donna Murphy Stabbington Brother (voice) Ron Perlman Captain of the Guard (voice) M.C. Gainey Byron Howard Nathan Greno"
99861,Avengers: Age of Ultron,"Action Adventure Science Fiction marvel comic sequel superhero based on comic book vision superhero team duringcreditsstinger marvel cinematic universe 3d When Tony Stark tries to jumpstart a dormant peacekeeping program, things go awry and Earth’s Mightiest Heroes are put to the ultimate test as the fate of the planet hangs in the balance. As the villainous Ultron emerges, it is up to The Avengers to stop him from enacting his terrible plans, and soon uneasy alliances and unexpected action pave the way for an epic and unique global adventure. Marvel Studios Prime Focus Revolution Sun Studios United States of America English 2015.0 4.0 22.0 Tony Stark / Iron Man Robert Downey Jr. Thor Odinson Chris Hemsworth Bruce Banner / Hulk Mark Ruffalo Steve Rogers / Captain America Chris Evans Natasha Romanoff / Black Widow Scarlett Johansson Joss Whedon"
767,Harry Potter and the Half-Blood Prince,"Adventure Fantasy Family witch magic broom school of witchcraft wizardry apparition teenage crush werewolf As Harry begins his sixth year at Hogwarts, he discovers an old book marked as 'Property of the Half-Blood Prince', and begins to learn more about Lord Voldemort's dark past. Warner Bros. Heyday Films United Kingdom United States of America English 2009.0 7.0 7.0 Harry Potter Daniel Radcliffe Ron Weasley Rupert Grint Hermione Granger Emma Watson Draco Malfoy Tom Felton Albus Dumbledore Michael Gambon David Yates"
209112,Batman v Superman: Dawn of Justice,"Action Adventure Fantasy dc comics vigilante superhero based on comic book revenge super powers clark kent bruce wayne dc extended universe Fearing the actions of a god-like Super Hero left unchecked, Gotham City’s own formidable, forceful vigilante takes on Metropolis’s most revered, modern-day savior, while the world wrestles with what sort of hero it really needs. And with Batman and Superman at war with one another, a new threat quickly arises, putting mankind in greater danger than it’s ever known before. DC Comics Atlas Entertainment Warner Bros. DC Entertainment Cruel & Unusual Films RatPac-Dune Entertainment United States of America English 2016.0 3.0 23.0 Bruce Wayne / Batman Ben Affleck Clark Kent / Superman Henry Cavill Diana Prince / Wonder Woman Gal Gadot Lois Lane Amy Adams Lex Luthor Jesse Eisenberg Zack Snyder"
1452,Superman Returns,"Adventure Fantasy Action Science Fiction saving the world dc comics invulnerability sequel superhero based on comic book kryptonite super powers superhuman strength lex luthor Superman returns to discover his 5-year absence has allowed Lex Luthor to walk free, and that those he was closest too felt abandoned and have moved on. Luthor plots his ultimate revenge that could see millions killed and change the face of the planet forever, as well as ridding himself of the Man of Steel. DC Comics Legendary Pictures Warner Bros. Bad Hat Harry Productions United States of America English 2006.0 6.0 28.0 Superman / Clark Kent Brandon Routh Lex Luthor Kevin Spacey Lois Lane Kate Bosworth Richard White James Marsden Kitty Kowalski Parker Posey Bryan Singer"
10764,Quantum of Solace,"Adventure Action Thriller Crime killing undercover secret agent british secret service Quantum of Solace continues the adventures of James Bond after Casino Royale. Betrayed by Vesper, the woman he loved, 007 fights the urge to make his latest mission personal. Pursuing his determination to uncover the truth, Bond and M interrogate Mr. White, who reveals that the organization that blackmailed Vesper is far more complex and dangerous than anyone had imagined. Eon Productions United Kingdom United States of America English 2008.0 10.0 30.0 James Bond Daniel Craig Camille Montes Olga Kurylenko Dominic Greene Mathieu Amalric M Judi Dench René Mathis Giancarlo Giannini Marc Forster"
58,Pirates of the Caribbean: Dead Man's Chest,"Adventure Fantasy Action witch fortune teller bondage exotic island monster captain card game east india trading company compass ship daughter pirate swashbuckler aftercreditsstinger Captain Jack Sparrow works his way out of a blood debt with the ghostly Davey Jones, he also attempts to avoid eternal damnation. Walt Disney Pictures Jerry Bruckheimer Films Second Mate Productions Jamaica United States of America Bahamas Dominica English 2006.0 6.0 20.0 Captain Jack Sparrow Johnny Depp Will Turner Orlando Bloom Elizabeth Swann Keira Knightley William ""Bootstrap Bill"" Turner Stellan Skarsgård Captain Davy Jones Bill Nighy Gore Verbinski"
57201,The Lone Ranger,"Action Adventure Western texas horse survivor texas ranger partner outlaw escape lawyer train lone ranger comanche the lone ranger tonto The Texas Rangers chase down a gang of outlaws led by Butch Cavendish, but the gang ambushes the Rangers, seemingly killing them all. One survivor is found, however, by an American Indian named Tonto, who nurses him back to health. The Ranger, donning a mask and riding a white stallion named Silver, teams up with Tonto to bring the unscrupulous gang and others of that ilk to justice. Walt Disney Pictures Jerry Bruckheimer Films Infinitum Nihil Silver Bullet Productions (II) Blind Wink Productions Classic Media United States of America English 2013.0 7.0 3.0 Tonto Johnny Depp John Reid / The Lone Ranger Armie Hammer Butch Cavendish William Fichtner Red Harrington Helena Bonham Carter Dan Reid James Badge Dale Gore Verbinski"
49521,Man of Steel,"Action Adventure Fantasy Science Fiction saving the world dc comics superhero based on comic book superhuman alien invasion reboot super powers dc extended universe A young boy learns that he has extraordinary powers and is not of this earth. As a young man, he journeys to discover where he came from and what he was sent here to do. But the hero in him must emerge if he is to save the world from annihilation and become the symbol of hope for all mankind. Legendary Pictures Warner Bros. DC Entertainment Syncopy Cruel and Unusual Films United Kingdom United States of America English 2013.0 6.0 12.0 Clark Kent / Kal-El Henry Cavill Lois Lane Amy Adams General Zod Michael Shannon Jonathan Kent Kevin Costner Martha Kent Diane Lane Zack Snyder"
2454,The Chronicles of Narnia: Prince Caspian,"Adventure Family Fantasy based on novel fictional place brother sister relationship lion human being wretch leap in time matter of life and death faith uncle narnia fantasy world One year after their incredible adventures in the Lion, the Witch and the Wardrobe, Peter, Edmund, Lucy and Susan Pevensie return to Narnia to aid a young prince whose life has been threatened by the evil King Miraz. Now, with the help of a colorful cast of new characters, including Trufflehunter the badger and Nikabrik the dwarf, the Pevensie clan embarks on an incredible quest to ensure that Narnia is returned to its rightful heir. Walt Disney Walden Media Stillking Films Ozumi Films Propeler Silverbell Films Revolution Sun Studios Czech Republic Poland Slovenia United States of America English 2008.0 5.0 15.0 Prince Caspian Ben Barnes Peter Pevensie William Moseley Susan Pevensie Anna Popplewell Edmund Pevensie Skandar Keynes Lucy Pevensie Georgie Henley Andrew Adamson"
24428,The Avengers,"Science Fiction Action Adventure new york shield marvel comic superhero based on comic book alien invasion superhero team aftercreditsstinger duringcreditsstinger marvel cinematic universe When an unexpected enemy emerges and threatens global safety and security, Nick Fury, director of the international peacekeeping agency known as S.H.I.E.L.D., finds himself in need of a team to pull the world back from the brink of disaster. Spanning the globe, a daring recruitment effort begins! Paramount Pictures Marvel Studios United States of America English 2012.0 4.0 25.0 Tony Stark / Iron Man Robert Downey Jr. Steve Rogers / Captain America Chris Evans Bruce Banner / The Hulk Mark Ruffalo Thor Odinson Chris Hemsworth Natasha Romanoff / Black Widow Scarlett Johansson Joss Whedon"
1865,Pirates of the Caribbean: On Stranger Tides,"Adventure Action Fantasy sea captain mutiny sword prime minister sailing silver ship duke mermaid pirate soldier battle swashbuckler aftercreditsstinger 3d Captain Jack Sparrow crosses paths with a woman from his past, and he's not sure if it's love -- or if she's a ruthless con artist who's using him to find the fabled Fountain of Youth. When she forces him aboard the Queen Anne's Revenge, the ship of the formidable pirate Blackbeard, Jack finds himself on an unexpected adventure in which he doesn't know who to fear more: Blackbeard or the woman from his past. Walt Disney Pictures Jerry Bruckheimer Films Moving Picture Company (MPC) United States of America English 2011.0 5.0 14.0 Captain Jack Sparrow Johnny Depp Angelica Teach Penélope Cruz Captain Edward ""Blackbeard"" Teach Ian McShane Joshamee Gibbs Kevin McNally Captain Hector Barbossa Geoffrey Rush Rob Marshall"
41154,Men in Black 3,"Action Comedy Science Fiction time travel time machine alien fictional government agency seeing the future changing history Agents J (Will Smith) and K (Tommy Lee Jones) are back...in time. J has seen some inexplicable things in his 15 years with the Men in Black, but nothing, not even aliens, perplexes him as much as his wry, reticent partner. But when K's life and the fate of the planet are put at stake, Agent J will have to travel back in time to put things right. J discovers that there are secrets to the universe that K never told him - secrets that will reveal themselves as he teams up with the young Agent K (Josh Brolin) to save his partner, the agency, and the future of humankind. Amblin Entertainment Media Magik Entertainment Imagenation Abu Dhabi FZ Hemisphere Media Capital Parkes/MacDonald Productions United States of America English 2012.0 5.0 23.0 Agent J Will Smith Agent K Tommy Lee Jones Young Agent K Josh Brolin Griffin Michael Stuhlbarg Agent O Emma Thompson Barry Sonnenfeld"
122917,The Hobbit: The Battle of the Five Armies,"Action Adventure Fantasy corruption elves dwarves orcs middle-earth (tolkien) hobbit dragon battle unlikely friendship epic battle sword and sorcery Immediately after the events of The Desolation of Smaug, Bilbo and the dwarves try to defend Erebor's mountain of treasure from others who claim it: the men of the ruined Laketown and the elves of Mirkwood. Meanwhile an army of Orcs led by Azog the Defiler is marching on Erebor, fueled by the rise of the dark lord Sauron. Dwarves, elves and men must unite, and the hope for Middle-Earth falls into Bilbo's hands. WingNut Films New Line Cinema Warner Bros. Pictures 3Foot7 Metro-Goldwyn-Mayer (MGM) New Zealand United States of America English 2014.0 12.0 10.0 Bilbo Baggins Martin Freeman Gandalf Ian McKellen Thorin Oakenshield Richard Armitage Balin Ken Stott Dwalin Graham McTavish Peter Jackson"
